id,created_at,updated_at,business_id,business_name,business_address,business_category,business_web_url,business_img_url,business_detailed_url,business_phone,business_fax,business_hours,business_stars,business_customer_reviews,business_bbb_rating,business_accredited_date,business_social_media,business_years,business_started_date,parse_date,business_contact_information,business_management
1,2024-02-28 15:31:24,2024-02-28 15:31:24,1755293,Ross Hi-Tek Solutions Inc.,"{'full_address': '330 Tanner Drive Se, Airdrie, AB, T4A 1S6', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': '330 Tanner Drive Se', 'postal_code': 'T4A 1S6'}",Business Consultant,https://www.linkedin.com/in/rosshiteksolutions/,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/business-consultant/ross-hi-tek-solutions-inc-0017-55293,4036817388,,,,,A,,,,,28/02/2024,"[{""name"": ""Michael Ross"", ""position"": ""President""}, {""name"": ""Michael Ross"", ""position"": ""President""}]","[{""name"": ""Michael Ross"", ""position"": ""President""}]"
2,2024-02-28 15:31:24,2024-02-28 15:31:24,17116788,Aussies Auctions,"{'full_address': '201 2903 Kingsview Blvd SE, Airdrie, AB, T4A 0E1', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': '201 2903 Kingsview Blvd SE', 'postal_code': 'T4A 0E1'}",Auctioneer,https://aussiesauctions.com/,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/auctioneer/aussies-auctions-0017-116788,5872241947,,,,,A,,,4,6/2/2020,28/02/2024,"[{""name"": ""Austin Morrison"", ""position"": ""Owner""}, {""name"": ""Austin Morrison"", ""position"": ""Owner""}]","[{""name"": ""Austin Morrison"", ""position"": ""Owner""}]"
3,2024-02-28 15:31:24,2024-02-28 15:31:24,1769969,Airdrie Dental Studio,"{'full_address': '1-704 Main Street, Airdrie, AB, T4B 3M1', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': '1-704 Main Street', 'postal_code': 'T4B 3M1'}",Dentist,http://airdriedental.ca,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/dentist/airdrie-dental-studio-0017-69969,4039129688,4039485753,,,,A,,,23,1/2/2001,28/02/2024,"[{""name"": ""Neil McDermid"", ""position"": ""Dr""}, {""name"": ""Neil McDermid"", ""position"": ""Dr""}]","[{""name"": ""Neil McDermid"", ""position"": ""Dr""}, {""name"": ""Marilyn Given"", ""position"": ""Dr""}]"
4,2024-02-28 15:31:24,2024-02-28 15:31:24,1721533,Calaco Concrete Ltd.,"{'full_address': 'Site 1 Box 3 RR 1, Airdrie, AB, T4B 2A3', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': 'Site 1 Box 3 RR 1', 'postal_code': 'T4B 2A3'}",Concrete Contractors,,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/concrete-contractors/calaco-concrete-ltd-0017-21533,4039485820,,,,,NR,,,33,1/1/1991,28/02/2024,"[{""name"": ""Rick Esposito"", ""position"": ""Owner""}, {""name"": ""Rick Esposito"", ""position"": ""Owner""}]","[{""name"": ""Rick Esposito"", ""position"": ""Owner""}]"
5,2024-02-28 15:31:24,2024-02-28 15:31:24,17108462,Marr & Company Chartered Professional Accountants,"{'full_address': '132 Main Street N, Airdrie, AB, T4B 0R3', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': '132 Main Street N', 'postal_code': 'T4B 0R3'}",Accountant,http://www.fiandermarr.ca/,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/accountant/marr-company-chartered-professional-accountants-0017-108462,4039484344,,,,,A,,,9,3/11/2014,28/02/2024,"[{""name"": ""Marnie Marr"", ""position"": ""Owner""}, {""name"": ""Marnie Marr"", ""position"": ""Owner""}]","[{""name"": ""Marnie Marr"", ""position"": ""Owner""}]"
6,2024-02-28 15:31:24,2024-02-28 15:31:24,1750662,Gold Bond Construction Ltd.,"{'full_address': 'Airdrie, AB, T4B 2S3', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': None, 'postal_code': 'T4B 2S3'}",Construction Services,,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/construction-services/gold-bond-construction-ltd-0017-50662,4039480220,,,,,A,,,16,6/11/2007,28/02/2024,"[{""name"": ""John Fleischer"", ""position"": ""President""}, {""name"": ""John Fleischer"", ""position"": ""President""}]","[{""name"": ""John Fleischer"", ""position"": ""President""}]"
7,2024-02-28 15:31:24,2024-02-28 15:31:24,117156206,Miclex Construction Ltd,"{'full_address': '217B-53016 Hwy 60, Acheson, AB, T7X 5A7', 'country': 'Canada', 'region': 'AB', 'city': 'Acheson', 'street': '217B-53016 Hwy 60', 'postal_code': 'T7X 5A7'}",Construction Management,http://miclex.com,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/acheson/profile/construction-management/miclex-construction-ltd-0117-156206,7809600657,,,,,NR,,,,,28/02/2024,"[{""name"": ""Tony Alfarela"", ""position"": ""Principal""}, {""name"": ""Tony Alfarela"", ""position"": ""Principal""}]","[{""name"": ""Tony Alfarela"", ""position"": ""Principal""}]"
8,2024-02-28 15:31:24,2024-02-28 15:31:24,17137907,BARCS Rescue,"{'full_address': '272134 Rge Rd 291 NE, Airdrie, AB, T4A 2V7', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': '272134 Rge Rd 291 NE', 'postal_code': 'T4A 2V7'}",Animal Rescue,https://www.barcsrescue.com/contact,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/animal-rescue/barcs-rescue-0017-137907,4038525357,,,,,A,,,9,20/11/2014,28/02/2024,"[{""name"": ""Customer Service""}, {""name"": ""Customer Service""}]","[{""name"": ""Customer Service""}]"
9,2024-02-28 15:31:24,2024-02-28 15:31:24,1751265,Tri-Venture Construction Ltd.,"{'full_address': '300, 104 East Lake Blvd NE, Airdrie, AB, T4A 2G2', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': '300, 104 East Lake Blvd NE', 'postal_code': 'T4A 2G2'}",Demolition Contractors,,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/demolition-contractors/tri-venture-construction-ltd-0017-51265,4039122016,,,,,A,,,,,28/02/2024,,
10,2024-02-28 15:31:24,2024-02-28 15:31:24,1750354,Full Score Sound Design,"{'full_address': 'Airdrie, AB, T4B 1V3', 'country': 'Canada', 'region': 'AB', 'city': 'Airdrie', 'street': None, 'postal_code': 'T4B 1V3'}",DJs,http://www.fullscoresound.com,https://m.bbb.org/terminuscontent/dist/img/non-ab-icon__300w.png?tx=w_120,https://www.bbb.org/ca/ab/airdrie/profile/djs/full-score-sound-design-0017-50354,4039484420,4039484420,,,,NR,,,,16/12/1999,28/02/2024,"[{""name"": ""Ron Simon"", ""position"": ""Owner/Director""}, {""name"": ""Ron Simon"", ""position"": ""Owner/Director""}]","[{""name"": ""Ron Simon"", ""position"": ""Owner/Director""}, {""name"": ""Lynn Simon""}]"
